table_catalog,table_schema,table_name,column_name,ordinal_position,is_nullable,data_type,is_generated,generation_expression,is_stored,is_hidden,is_updatable,is_system_defined,is_partitioning_column,clustering_ordinal_position,collation_name,column_default,rounding_mode
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,vendor_id,1,NO,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,pickup_datetime,2,YES,TIMESTAMP,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,dropoff_datetime,3,YES,TIMESTAMP,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,store_and_fwd_flag,4,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,rate_code,5,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,passenger_count,6,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,trip_distance,7,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,fare_amount,8,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,extra,9,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,mta_tax,10,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,tip_amount,11,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,tolls_amount,12,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,ehail_fee,13,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,airport_fee,14,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,total_amount,15,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,payment_type,16,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,distance_between_service,17,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,time_between_service,18,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,trip_type,19,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,imp_surcharge,20,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,pickup_location_id,21,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,dropoff_location_id,22,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,data_file_year,23,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,data_file_month,24,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,vendor_id,1,NO,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,pickup_datetime,2,YES,TIMESTAMP,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,dropoff_datetime,3,YES,TIMESTAMP,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,store_and_fwd_flag,4,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,rate_code,5,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,passenger_count,6,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,trip_distance,7,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,fare_amount,8,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,extra,9,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,mta_tax,10,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,tip_amount,11,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,tolls_amount,12,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,ehail_fee,13,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,airport_fee,14,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,total_amount,15,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,payment_type,16,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,distance_between_service,17,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,time_between_service,18,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,trip_type,19,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,imp_surcharge,20,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,pickup_location_id,21,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,dropoff_location_id,22,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,data_file_year,23,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,data_file_month,24,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_fhv_trips_2016,location_id,1,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_fhv_trips_2016,pickup_datetime,2,YES,DATETIME,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_fhv_trips_2016,dispatching_base_num,3,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_fhv_trips_2016,borough,4,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_fhv_trips_2016,zone,5,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_fhv_trips_2016,service_zone,6,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,vendor_id,1,NO,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,pickup_datetime,2,YES,TIMESTAMP,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,dropoff_datetime,3,YES,TIMESTAMP,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,passenger_count,4,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,trip_distance,5,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,rate_code,6,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
